district_name,panchayat_name,ward_name
Thiruvananthapuram,Nemom,Ward 4
Thiruvananthapuram,Nemom,Ward 5
Thiruvananthapuram,Nemom,Ward 6
Thiruvananthapuram,Nemom,Ward 7
Thiruvananthapuram,Nemom,Ward 8
Thiruvananthapuram,Nemom,Ward 9
Thiruvananthapuram,Nemom,Ward 10
Thiruvananthapuram,Nemom,Ward 11
Thiruvananthapuram,Nemom,Ward 12
Thiruvananthapuram,Nemom,Ward 13
Thiruvananthapuram,Nemom,Ward 14
Thiruvananthapuram,Nemom,Ward 15
Thiruvananthapuram,Nemom,Ward 16
Thiruvananthapuram,Nemom,Ward 17
Thiruvananthapuram,Nemom,Ward 18
Thiruvananthapuram,Nemom,Ward 19
Thiruvananthapuram,Nemom,Ward 20
Thiruvananthapuram,Kanjiramkulam,Ward 1
Thiruvananthapuram,Kanjiramkulam,Ward 2
Thiruvananthapuram,Kanjiramkulam,Ward 3
Thiruvananthapuram,Kanjiramkulam,Ward 4
Thiruvananthapuram,Kanjiramkulam,Ward 5
Thiruvananthapuram,Kanjiramkulam,Ward 6
Thiruvananthapuram,Kanjiramkulam,Ward 7
Thiruvananthapuram,Kanjiramkulam,Ward 8
Thiruvananthapuram,Kanjiramkulam,Ward 9
Thiruvananthapuram,Kanjiramkulam,Ward 10
Thiruvananthapuram,Kanjiramkulam,Ward 11
Thiruvananthapuram,Kanjiramkulam,Ward 12
Thiruvananthapuram,Kanjiramkulam,Ward 13
Thiruvananthapuram,Kanjiramkulam,Ward 14
Thiruvananthapuram,Kanjiramkulam,Ward 15
Thiruvananthapuram,Kanjiramkulam,Ward 16
Thiruvananthapuram,Kanjiramkulam,Ward 17
Thiruvananthapuram,Kanjiramkulam,Ward 18
Thiruvananthapuram,Kanjiramkulam,Ward 19
Thiruvananthapuram,Kanjiramkulam,Ward 20
Thiruvananthapuram,Kalliyoor,Ward 1
Thiruvananthapuram,Kalliyoor,Ward 2
Thiruvananthapuram,Kalliyoor,Ward 3
Thiruvananthapuram,Kalliyoor,Ward 4
Thiruvananthapuram,Kalliyoor,Ward 5
Thiruvananthapuram,Kalliyoor,Ward 6
Thiruvananthapuram,Kalliyoor,Ward 7
Thiruvananthapuram,Kalliyoor,Ward 8
Thiruvananthapuram,Kalliyoor,Ward 9
Thiruvananthapuram,Kalliyoor,Ward 10
Thiruvananthapuram,Kalliyoor,Ward 11
Thiruvananthapuram,Kalliyoor,Ward 12
Thiruvananthapuram,Kalliyoor,Ward 13
Thiruvananthapuram,Kalliyoor,Ward 14
Thiruvananthapuram,Kalliyoor,Ward 15
Thiruvananthapuram,Kalliyoor,Ward 16
Thiruvananthapuram,Kalliyoor,Ward 17
Thiruvananthapuram,Kalliyoor,Ward 18
Thiruvananthapuram,Kalliyoor,Ward 19
Thiruvananthapuram,Kalliyoor,Ward 20
Thiruvananthapuram,Venganoor,Ward 1
Thiruvananthapuram,Venganoor,Ward 2
Thiruvananthapuram,Venganoor,Ward 3
Thiruvananthapuram,Venganoor,Ward 4
Thiruvananthapuram,Venganoor,Ward 5
Thiruvananthapuram,Venganoor,Ward 6
Thiruvananthapuram,Venganoor,Ward 7
Thiruvananthapuram,Venganoor,Ward 8
Thiruvananthapuram,Venganoor,Ward 9
Thiruvananthapuram,Venganoor,Ward 10
Thiruvananthapuram,Venganoor,Ward 11
Thiruvananthapuram,Venganoor,Ward 12
Thiruvananthapuram,Venganoor,Ward 13
Thiruvananthapuram,Venganoor,Ward 14
Thiruvananthapuram,Venganoor,Ward 15
Thiruvananthapuram,Venganoor,Ward 16
Thiruvananthapuram,Venganoor,Ward 17
Thiruvananthapuram,Venganoor,Ward 18
Thiruvananthapuram,Venganoor,Ward 19
Thiruvananthapuram,Venganoor,Ward 20
Thiruvananthapuram,Kulathoor,Ward 1
Thiruvananthapuram,Kulathoor,Ward 2
Thiruvananthapuram,Kulathoor,Ward 3
Thiruvananthapuram,Kulathoor,Ward 4
Thiruvananthapuram,Kulathoor,Ward 5
Thiruvananthapuram,Kulathoor,Ward 6
Thiruvananthapuram,Kulathoor,Ward 7
Thiruvananthapuram,Kulathoor,Ward 8
Thiruvananthapuram,Kulathoor,Ward 9
Thiruvananthapuram,Kulathoor,Ward 10
Thiruvananthapuram,Kulathoor,Ward 11
Thiruvananthapuram,Kulathoor,Ward 12
Thiruvananthapuram,Kulathoor,Ward 13
Thiruvananthapuram,Kulathoor,Ward 14
Thiruvananthapuram,Kulathoor,Ward 15
Thiruvananthapuram,Kulathoor,Ward 16
Thiruvananthapuram,Kulathoor,Ward 17
Thiruvananthapuram,Kulathoor,Ward 18
Thiruvananthapuram,Kulathoor,Ward 19
Thiruvananthapuram,Kulathoor,Ward 20
Thiruvananthapuram,Kazhakkoottam,Ward 1
Thiruvananthapuram,Kazhakkoottam,Ward 2
Thiruvananthapuram,Kazhakkoottam,Ward 3
Thiruvananthapuram,Kazhakkoottam,Ward 4
Thiruvananthapuram,Kazhakkoottam,Ward 5
Thiruvananthapuram,Kazhakkoottam,Ward 6
Thiruvananthapuram,Kazhakkoottam,Ward 7
Thiruvananthapuram,Kazhakkoottam,Ward 8
Thiruvananthapuram,Kazhakkoottam,Ward 9
Thiruvananthapuram,Kazhakkoottam,Ward 10
Thiruvananthapuram,Kazhakkoottam,Ward 11
Thiruvananthapuram,Kazhakkoottam,Ward 12
Thiruvananthapuram,Kazhakkoottam,Ward 13
Thiruvananthapuram,Kazhakkoottam,Ward 14
Thiruvananthapuram,Kazhakkoottam,Ward 15
Thiruvananthapuram,Kazhakkoottam,Ward 16
Thiruvananthapuram,Kazhakkoottam,Ward 17
Thiruvananthapuram,Kazhakkoottam,Ward 18
Thiruvananthapuram,Kazhakkoottam,Ward 19
Thiruvananthapuram,Kazhakkoottam,Ward 20
Thiruvananthapuram,Sreekariyam,Ward 1
Thiruvananthapuram,Sreekariyam,Ward 2
Thiruvananthapuram,Sreekariyam,Ward 3
Thiruvananthapuram,Sreekariyam,Ward 4
Thiruvananthapuram,Sreekariyam,Ward 5
Thiruvananthapuram,Sreekariyam,Ward 6
Thiruvananthapuram,Sreekariyam,Ward 7
Thiruvananthapuram,Sreekariyam,Ward 8
Thiruvananthapuram,Sreekariyam,Ward 9
Thiruvananthapuram,Sreekariyam,Ward 10
Thiruvananthapuram,Sreekariyam,Ward 11
Thiruvananthapuram,Sreekariyam,Ward 12
Thiruvananthapuram,Sreekariyam,Ward 13
Thiruvananthapuram,Sreekariyam,Ward 14
Thiruvananthapuram,Sreekariyam,Ward 15
Thiruvananthapuram,Sreekariyam,Ward 16
Thiruvananthapuram,Sreekariyam,Ward 17
Thiruvananthapuram,Sreekariyam,Ward 18
Thiruvananthapuram,Sreekariyam,Ward 19
Thiruvananthapuram,Sreekariyam,Ward 20
Thiruvananthapuram,Pothencode,Ward 1
Thiruvananthapuram,Pothencode,Ward 2
Thiruvananthapuram,Pothencode,Ward 3
Thiruvananthapuram,Pothencode,Ward 4
Thiruvananthapuram,Pothencode,Ward 5
Thiruvananthapuram,Pothencode,Ward 6
Thiruvananthapuram,Pothencode,Ward 7
Thiruvananthapuram,Pothencode,Ward 8
Thiruvananthapuram,Pothencode,Ward 9
Thiruvananthapuram,Pothencode,Ward 10
Thiruvananthapuram,Pothencode,Ward 11
Thiruvananthapuram,Pothencode,Ward 12
Thiruvananthapuram,Pothencode,Ward 13
Thiruvananthapuram,Pothencode,Ward 14
Thiruvananthapuram,Pothencode,Ward 15
Thiruvananthapuram,Pothencode,Ward 16
Thiruvananthapuram,Pothencode,Ward 17
Thiruvananthapuram,Pothencode,Ward 18
Thiruvananthapuram,Pothencode,Ward 19
Thiruvananthapuram,Pothencode,Ward 20
Thiruvananthapuram,Andoorkonam,Ward 1
Thiruvananthapuram,Andoorkonam,Ward 2
Thiruvananthapuram,Andoorkonam,Ward 3
Thiruvananthapuram,Andoorkonam,Ward 4
Thiruvananthapuram,Andoorkonam,Ward 5
Thiruvananthapuram,Andoorkonam,Ward 6
Thiruvananthapuram,Andoorkonam,Ward 7
Thiruvananthapuram,Andoorkonam,Ward 8
Thiruvananthapuram,Andoorkonam,Ward 9
Thiruvananthapuram,Andoorkonam,Ward 10
Thiruvananthapuram,Andoorkonam,Ward 11
Thiruvananthapuram,Andoorkonam,Ward 12
Thiruvananthapuram,Andoorkonam,Ward 13
Thiruvananthapuram,Andoorkonam,Ward 14
Thiruvananthapuram,Andoorkonam,Ward 15
Thiruvananthapuram,Andoorkonam,Ward 16
Thiruvananthapuram,Andoorkonam,Ward 17
Thiruvananthapuram,Andoorkonam,Ward 18
Thiruvananthapuram,Andoorkonam,Ward 19
Thiruvananthapuram,Andoorkonam,Ward 20
Thiruvananthapuram,Kadinamkulam,Ward 1
Thiruvananthapuram,Kadinamkulam,Ward 2
Thiruvananthapuram,Kadinamkulam,Ward 3
Thiruvananthapuram,Kadinamkulam,Ward 4
Thiruvananthapuram,Kadinamkulam,Ward 5
Thiruvananthapuram,Kadinamkulam,Ward 6
Thiruvananthapuram,Kadinamkulam,Ward 7
Thiruvananthapuram,Kadinamkulam,Ward 8
Thiruvananthapuram,Kadinamkulam,Ward 9
Thiruvananthapuram,Kadinamkulam,Ward 10
Thiruvananthapuram,Kadinamkulam,Ward 11
Thiruvananthapuram,Kadinamkulam,Ward 12
Thiruvananthapuram,Kadinamkulam,Ward 13
Thiruvananthapuram,Kadinamkulam,Ward 14
Thiruvananthapuram,Kadinamkulam,Ward 15
Thiruvananthapuram,Kadinamkulam,Ward 16
Thiruvananthapuram,Kadinamkulam,Ward 17
Thiruvananthapuram,Kadinamkulam,Ward 18
Thiruvananthapuram,Kadinamkulam,Ward 19
Thiruvananthapuram,Kadinamkulam,Ward 20
Thiruvananthapuram,Iraanveld,Ward 1
Thiruvananthapuram,Iraanveld,Ward 2
Thiruvananthapuram,Iraanveld,Ward 3
Thiruvananthapuram,Iraanveld,Ward 4
Thiruvananthapuram,Iraanveld,Ward 5
Thiruvananthapuram,Iraanveld,Ward 6
Thiruvananthapuram,Iraanveld,Ward 7
Thiruvananthapuram,Iraanveld,Ward 8
Thiruvananthapuram,Iraanveld,Ward 9
Thiruvananthapuram,Iraanveld,Ward 10
Thiruvananthapuram,Iraanveld,Ward 11
Thiruvananthapuram,Iraanveld,Ward 12
Thiruvananthapuram,Iraanveld,Ward 13
Thiruvananthapuram,Iraanveld,Ward 14
Thiruvananthapuram,Iraanveld,Ward 15
Thiruvananthapuram,Iraanveld,Ward 16
Thiruvananthapuram,Iraanveld,Ward 17
Thiruvananthapuram,Iraanveld,Ward 18
Thiruvananthapuram,Iraanveld,Ward 19
Thiruvananthapuram,Iraanveld,Ward 20
Thiruvananthapuram,Mangalapuram,Ward 1
Thiruvananthapuram,Mangalapuram,Ward 2
Thiruvananthapuram,Mangalapuram,Ward 3
Thiruvananthapuram,Mangalapuram,Ward 4
Thiruvananthapuram,Mangalapuram,Ward 5
Thiruvananthapuram,Mangalapuram,Ward 6
Thiruvananthapuram,Mangalapuram,Ward 7
Thiruvananthapuram,Mangalapuram,Ward 8
Thiruvananthapuram,Mangalapuram,Ward 9
Thiruvananthapuram,Mangalapuram,Ward 10
Thiruvananthapuram,Mangalapuram,Ward 11
Thiruvananthapuram,Mangalapuram,Ward 12
Thiruvananthapuram,Mangalapuram,Ward 13
Thiruvananthapuram,Mangalapuram,Ward 14
Thiruvananthapuram,Mangalapuram,Ward 15
Thiruvananthapuram,Mangalapuram,Ward 16
Thiruvananthapuram,Mangalapuram,Ward 17
Thiruvananthapuram,Mangalapuram,Ward 18
Thiruvananthapuram,Mangalapuram,Ward 19
Thiruvananthapuram,Mangalapuram,Ward 20
Thiruvananthapuram,Pandalam-Kadakkavoor,Ward 1
Thiruvananthapuram,Pandalam-Kadakkavoor,Ward 2
Thiruvananthapuram,Pandalam-Kadakkavoor,Ward 3
Thiruvananthapuram,Pandalam-Kadakkavoor,Ward 4
Thiruvananthapuram,Pandalam-Kadakkavoor,Ward 5
Thiruvananthapuram,Pandalam-Kadakkavoor,Ward 6
Thiruvananthapuram,Pandalam-Kadakkavoor,Ward 7
Thiruvananthapuram,Pandalam-Kadakkavoor,Ward 8
Thiruvananthapuram,Pandalam-Kadakkavoor,Ward 9
Thiruvananthapuram,Pandalam-Kadakkavoor,Ward 10
Thiruvananthapuram,Pandalam-Kadakkavoor,Ward 11
Thiruvananthapuram,Pandalam-Kadakkavoor,Ward 12
Thiruvananthapuram,Pandalam-Kadakkavoor,Ward 13
Thiruvananthapuram,Pandalam-Kadakkavoor,Ward 14
Thiruvananthapuram,Pandalam-Kadakkavoor,Ward 15
Thiruvananthapuram,Pandalam-Kadakkavoor,Ward 16
Thiruvananthapuram,Pandalam-Kadakkavoor,Ward 17
Thiruvananthapuram,Pandalam-Kadakkavoor,Ward 18
Thiruvananthapuram,Pandalam-Kadakkavoor,Ward 19
Thiruvananthapuram,Pandalam-Kadakkavoor,Ward 20
Thiruvananthapuram,Anchuthengu,Ward 1
Thiruvananthapuram,Anchuthengu,Ward 2
Thiruvananthapuram,Anchuthengu,Ward 3
Thiruvananthapuram,Anchuthengu,Ward 4
Thiruvananthapuram,Anchuthengu,Ward 5
Thiruvananthapuram,Anchuthengu,Ward 6
Thiruvananthapuram,Anchuthengu,Ward 7
Thiruvananthapuram,Anchuthengu,Ward 8
Thiruvananthapuram,Anchuthengu,Ward 9
Thiruvananthapuram,Anchuthengu,Ward 10
Thiruvananthapuram,Anchuthengu,Ward 11
Thiruvananthapuram,Anchuthengu,Ward 12
Thiruvananthapuram,Anchuthengu,Ward 13
Thiruvananthapuram,Anchuthengu,Ward 14
Thiruvananthapuram,Anchuthengu,Ward 15
Thiruvananthapuram,Anchuthengu,Ward 16
Thiruvananthapuram,Anchuthengu,Ward 17
Thiruvananthapuram,Anchuthengu,Ward 18
Thiruvananthapuram,Anchuthengu,Ward 19
Thiruvananthapuram,Anchuthengu,Ward 20
Thiruvananthapuram,Azhoor,Ward 1
Thiruvananthapuram,Azhoor,Ward 2
Thiruvananthapuram,Azhoor,Ward 3
Thiruvananthapuram,Azhoor,Ward 4
Thiruvananthapuram,Azhoor,Ward 5
Thiruvananthapuram,Azhoor,Ward 6
Thiruvananthapuram,Azhoor,Ward 7
Thiruvananthapuram,Azhoor,Ward 8
Thiruvananthapuram,Azhoor,Ward 9
Thiruvananthapuram,Azhoor,Ward 10
Thiruvananthapuram,Azhoor,Ward 11
Thiruvananthapuram,Azhoor,Ward 12
Thiruvananthapuram,Azhoor,Ward 13
Thiruvananthapuram,Azhoor,Ward 14
Thiruvananthapuram,Azhoor,Ward 15
Thiruvananthapuram,Azhoor,Ward 16
Thiruvananthapuram,Azhoor,Ward 17
Thiruvananthapuram,Azhoor,Ward 18
Thiruvananthapuram,Azhoor,Ward 19
Thiruvananthapuram,Azhoor,Ward 20
Thiruvananthapuram,Poovachal,Ward 1
Thiruvananthapuram,Poovachal,Ward 2
Thiruvananthapuram,Poovachal,Ward 3
Thiruvananthapuram,Poovachal,Ward 4
Thiruvananthapuram,Poovachal,Ward 5
Thiruvananthapuram,Poovachal,Ward 6
Thiruvananthapuram,Poovachal,Ward 7
Thiruvananthapuram,Poovachal,Ward 8
Thiruvananthapuram,Poovachal,Ward 9
Thiruvananthapuram,Poovachal,Ward 10
Thiruvananthapuram,Poovachal,Ward 11
Thiruvananthapuram,Poovachal,Ward 12
Thiruvananthapuram,Poovachal,Ward 13
Thiruvananthapuram,Poovachal,Ward 14
Thiruvananthapuram,Poovachal,Ward 15
Thiruvananthapuram,Poovachal,Ward 16
Thiruvananthapuram,Poovachal,Ward 17
Thiruvananthapuram,Poovachal,Ward 18
Thiruvananthapuram,Poovachal,Ward 19
Thiruvananthapuram,Poovachal,Ward 20
Thiruvananthapuram,Kallikadu,Ward 1
Thiruvananthapuram,Kallikadu,Ward 2
Thiruvananthapuram,Kallikadu,Ward 3
Thiruvananthapuram,Kallikadu,Ward 4
Thiruvananthapuram,Kallikadu,Ward 5
Thiruvananthapuram,Kallikadu,Ward 6
Thiruvananthapuram,Kallikadu,Ward 7
Thiruvananthapuram,Kallikadu,Ward 8
Thiruvananthapuram,Kallikadu,Ward 9
Thiruvananthapuram,Kallikadu,Ward 10
Thiruvananthapuram,Kallikadu,Ward 11
Thiruvananthapuram,Kallikadu,Ward 12
Thiruvananthapuram,Kallikadu,Ward 13
Thiruvananthapuram,Kallikadu,Ward 14
Thiruvananthapuram,Kallikadu,Ward 15
Thiruvananthapuram,Kallikadu,Ward 16
Thiruvananthapuram,Kallikadu,Ward 17
Thiruvananthapuram,Kallikadu,Ward 18
Thiruvananthapuram,Kallikadu,Ward 19
Thiruvananthapuram,Kallikadu,Ward 20
Thiruvananthapuram,Vazhayila,Ward 1
Thiruvananthapuram,Vazhayila,Ward 2
Thiruvananthapuram,Vazhayila,Ward 3
Thiruvananthapuram,Vazhayila,Ward 4
Thiruvananthapuram,Vazhayila,Ward 5
Thiruvananthapuram,Vazhayila,Ward 6
Thiruvananthapuram,Vazhayila,Ward 7
Thiruvananthapuram,Vazhayila,Ward 8
Thiruvananthapuram,Vazhayila,Ward 9
Thiruvananthapuram,Vazhayila,Ward 10
Thiruvananthapuram,Vazhayila,Ward 11
Thiruvananthapuram,Vazhayila,Ward 12
Thiruvananthapuram,Vazhayila,Ward 13
Thiruvananthapuram,Vazhayila,Ward 14
Thiruvananthapuram,Vazhayila,Ward 15
Thiruvananthapuram,Vazhayila,Ward 16
Thiruvananthapuram,Vazhayila,Ward 17
Thiruvananthapuram,Vazhayila,Ward 18
Thiruvananthapuram,Vazhayila,Ward 19
Thiruvananthapuram,Vazhayila,Ward 20
Thiruvananthapuram,Tholicode,Ward 1
Thiruvananthapuram,Tholicode,Ward 2
Thiruvananthapuram,Tholicode,Ward 3
Thiruvananthapuram,Tholicode,Ward 4
Thiruvananthapuram,Tholicode,Ward 5
Thiruvananthapuram,Tholicode,Ward 6
Thiruvananthapuram,Tholicode,Ward 7
Thiruvananthapuram,Tholicode,Ward 8
Thiruvananthapuram,Tholicode,Ward 9
Thiruvananthapuram,Tholicode,Ward 10
Thiruvananthapuram,Tholicode,Ward 11
Thiruvananthapuram,Tholicode,Ward 12
Thiruvananthapuram,Tholicode,Ward 13
Thiruvananthapuram,Tholicode,Ward 14
Thiruvananthapuram,Tholicode,Ward 15
Thiruvananthapuram,Tholicode,Ward 16
Thiruvananthapuram,Tholicode,Ward 17
Thiruvananthapuram,Tholicode,Ward 18
Thiruvananthapuram,Tholicode,Ward 19
Thiruvananthapuram,Tholicode,Ward 20
Thiruvananthapuram,Vithura,Ward 1
Thiruvananthapuram,Vithura,Ward 2
Thiruvananthapuram,Vithura,Ward 3
Thiruvananthapuram,Vithura,Ward 4
Thiruvananthapuram,Vithura,Ward 5
Thiruvananthapuram,Vithura,Ward 6
Thiruvananthapuram,Vithura,Ward 7
Thiruvananthapuram,Vithura,Ward 8
Thiruvananthapuram,Vithura,Ward 9
Thiruvananthapuram,Vithura,Ward 10
Thiruvananthapuram,Vithura,Ward 11
Thiruvananthapuram,Vithura,Ward 12
Thiruvananthapuram,Vithura,Ward 13
Thiruvananthapuram,Vithura,Ward 14
Thiruvananthapuram,Vithura,Ward 15
Thiruvananthapuram,Vithura,Ward 16
Thiruvananthapuram,Vithura,Ward 17
Thiruvananthapuram,Vithura,Ward 18
Thiruvananthapuram,Vithura,Ward 19
Thiruvananthapuram,Vithura,Ward 20
Thiruvananthapuram,Kottoor,Ward 1
Thiruvananthapuram,Kottoor,Ward 2
Thiruvananthapuram,Kottoor,Ward 3
Thiruvananthapuram,Kottoor,Ward 4
Thiruvananthapuram,Kottoor,Ward 5
Thiruvananthapuram,Kottoor,Ward 6
Thiruvananthapuram,Kottoor,Ward 7
Thiruvananthapuram,Kottoor,Ward 8
Thiruvananthapuram,Kottoor,Ward 9
Thiruvananthapuram,Kottoor,Ward 10
Thiruvananthapuram,Kottoor,Ward 11
Thiruvananthapuram,Kottoor,Ward 12
Thiruvananthapuram,Kottoor,Ward 13
Thiruvananthapuram,Kottoor,Ward 14
Thiruvananthapuram,Kottoor,Ward 15
Thiruvananthapuram,Kottoor,Ward 16
Thiruvananthapuram,Kottoor,Ward 17
Thiruvananthapuram,Kottoor,Ward 18
Thiruvananthapuram,Kottoor,Ward 19
Thiruvananthapuram,Kottoor,Ward 20
Thiruvananthapuram,Palode,Ward 1
Thiruvananthapuram,Palode,Ward 2
Thiruvananthapuram,Palode,Ward 3
Thiruvananthapuram,Palode,Ward 4
Thiruvananthapuram,Palode,Ward 5
Thiruvananthapuram,Palode,Ward 6
Thiruvananthapuram,Palode,Ward 7
Thiruvananthapuram,Palode,Ward 8
Thiruvananthapuram,Palode,Ward 9
Thiruvananthapuram,Palode,Ward 10
Thiruvananthapuram,Palode,Ward 11
Thiruvananthapuram,Palode,Ward 12
Thiruvananthapuram,Palode,Ward 13
Thiruvananthapuram,Palode,Ward 14
Thiruvananthapuram,Palode,Ward 15
Thiruvananthapuram,Palode,Ward 16
Thiruvananthapuram,Palode,Ward 17
Thiruvananthapuram,Palode,Ward 18
Thiruvananthapuram,Palode,Ward 19
Thiruvananthapuram,Palode,Ward 20
Thiruvananthapuram,Peringamala,Ward 1
Thiruvananthapuram,Peringamala,Ward 2
Thiruvananthapuram,Peringamala,Ward 3
Thiruvananthapuram,Peringamala,Ward 4
Thiruvananthapuram,Peringamala,Ward 5
Thiruvananthapuram,Peringamala,Ward 6
Thiruvananthapuram,Peringamala,Ward 7
Thiruvananthapuram,Peringamala,Ward 8
Thiruvananthapuram,Peringamala,Ward 9
Thiruvananthapuram,Peringamala,Ward 10
Thiruvananthapuram,Peringamala,Ward 11
Thiruvananthapuram,Peringamala,Ward 12
Thiruvananthapuram,Peringamala,Ward 13
Thiruvananthapuram,Peringamala,Ward 14
Thiruvananthapuram,Peringamala,Ward 15
Thiruvananthapuram,Peringamala,Ward 16
Thiruvananthapuram,Peringamala,Ward 17
Thiruvananthapuram,Peringamala,Ward 18
Thiruvananthapuram,Peringamala,Ward 19
Thiruvananthapuram,Peringamala,Ward 20
Thiruvananthapuram,Nedumangad,Ward 1
Thiruvananthapuram,Nedumangad,Ward 2
Thiruvananthapuram,Nedumangad,Ward 3
Thiruvananthapuram,Nedumangad,Ward 4
Thiruvananthapuram,Nedumangad,Ward 5
Thiruvananthapuram,Nedumangad,Ward 6
Thiruvananthapuram,Nedumangad,Ward 7
Thiruvananthapuram,Nedumangad,Ward 8
Thiruvananthapuram,Nedumangad,Ward 9
Thiruvananthapuram,Nedumangad,Ward 10
Thiruvananthapuram,Nedumangad,Ward 11
Thiruvananthapuram,Nedumangad,Ward 12
Thiruvananthapuram,Nedumangad,Ward 13
Thiruvananthapuram,Nedumangad,Ward 14
Thiruvananthapuram,Nedumangad,Ward 15
Thiruvananthapuram,Nedumangad,Ward 16
Thiruvananthapuram,Nedumangad,Ward 17
Thiruvananthapuram,Nedumangad,Ward 18
Thiruvananthapuram,Nedumangad,Ward 19
Thiruvananthapuram,Nedumangad,Ward 20
Thiruvananthapuram,Karimkunnam,Ward 1
Thiruvananthapuram,Karimkunnam,Ward 2
Thiruvananthapuram,Karimkunnam,Ward 3
Thiruvananthapuram,Karimkunnam,Ward 4
Thiruvananthapuram,Karimkunnam,Ward 5
Thiruvananthapuram,Karimkunnam,Ward 6
Thiruvananthapuram,Karimkunnam,Ward 7
Thiruvananthapuram,Karimkunnam,Ward 8
Thiruvananthapuram,Karimkunnam,Ward 9
Thiruvananthapuram,Karimkunnam,Ward 10
Thiruvananthapuram,Karimkunnam,Ward 11
Thiruvananthapuram,Karimkunnam,Ward 12
Thiruvananthapuram,Karimkunnam,Ward 13
Thiruvananthapuram,Karimkunnam,Ward 14
Thiruvananthapuram,Karimkunnam,Ward 15
Thiruvananthapuram,Karimkunnam,Ward 16
Thiruvananthapuram,Karimkunnam,Ward 17
Thiruvananthapuram,Karimkunnam,Ward 18
